normed_smiles,normed_mapped_smiles,label
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C#N)CO)c1,CC(C)(C#N)c1cc(C[n:1]2c[n:1]c[n:1]2)cc(C(C)(C#N)C[OH:3])c1,1
COc1c(O)ccc2cc3[n+](cc12)CCc1cc2c(cc1-3)OCO2,COc1c([OH:3])ccc2cc3[n+:1](cc12)CCc1cc2c(cc1-3)OCO2,1
CC=C1N(C)C(C)CC1(c1ccccc1)c1ccc(O)cc1,CC=C1C(c2ccccc2)(c2ccc([OH:3])cc2)CC(C)[N:1]1C,1
CCC1=NC(C)CC1(c1ccccc1)c1ccc(O)cc1,CCC1=[N:1]C(C)CC1(c1ccccc1)c1ccc([OH:3])cc1,1
Cc1cc(C)cc(C(=O)N(NC(=O)c2cccc(O)c2C)C(C)(C)C)c1,Cc1cc(C)cc(C(=O)N(NC(=O)c2cccc([OH:3])c2C)C(C)(C)C)c1,1
CC(N)Cc1ccc(O)c(O)c1,CC(Cc1ccc([OH:3])c([OH:1])c1)[NH2:1],1
COc1cc(CC(C)N)ccc1O,COc1cc(CC(C)[NH2:1])ccc1[OH:3],1
O=C(O)C(c1ccc(O)cc1)C1CCCCN1,O=C(C(c1ccc([OH:3])cc1)C1CCCC[NH:1]1)[OH:1],1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)c(O)c1OC,CC[N:1](CC)CCNC(=O)c1cc(Cl)c([NH2:1])c([OH:3])c1OC,1
CCN(CC)CCNC(=O)c1c(OC)cc(N)c(Cl)c1O,CC[N:1](CC)CCNC(=O)c1c(OC)cc([NH2:1])c(Cl)c1[OH:3],1
Cc1ncc([N+](=O)[O-])n1CCO,Cc1[n:1]cc([N+](=O)[O-])[n:1]1CC[OH:3],1
CN1CCN2c3ccc(O)cc3Cc3ccccc3C2C1,C[N:1]1CC[N:1]2c3ccc([OH:3])cc3Cc3ccccc3C2C1,1
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CC(=O)C2(C)C,C=C(c1ccc(C(=O)[OH:3])cc1)c1cc2c(cc1C)C(C)(C)CC(=O)C2(C)C,1
CN1CCN2c3ccccc3Cc3ccccc3C2C1,C[N:3]1CC[N:1]2c3ccccc3Cc3ccccc3C2C1,1
Nc1ccc(CCNCC(O)c2ccccc2)cc1O,c1ccc(C(C[NH:1]CCc2ccc([NH2:1])c([OH:3])c2)[OH:1])cc1,1
Cc1ncc([N+](=O)[O-])n1CC(O)CN1CCOCC1,Cc1[n:1]cc([N+](=O)[O-])[n:1]1CC(C[N:3]1CCOCC1)[OH:1],1
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5,C=CC[N:1]1CCC23c4c5ccc([OH:3])c4OC2C([OH:1])CCC3([OH:1])C1C5,1
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)[OH:3])CC1,1
Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1,Cc1cc(=[O:3])[nH:1]c2c1NC(=O)c1ccc[n:1]c1[N:1]2C1CC1,1
Cc1ccnc2c1NC(=O)c1cc(O)cnc1N2C1CC1,Cc1cc[n:1]c2c1NC(=O)c1cc([OH:3])c[n:1]c1[N:1]2C1CC1,1
Cc1c(O)cnc2c1NC(=O)c1cccnc1N2C1CC1,Cc1c([OH:3])c[n:1]c2c1NC(=O)c1ccc[n:1]c1[N:1]2C1CC1,1
